DocID,Q1,Q2,Q3,Advocacy,Scientific_knowledge,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Med_expert,Professionalism,Communication,Collaboration,Managemnet
doc-01,4.34,4.08,4.55,4.24,4.08,3.87,3.47,4.28,4.33,4.27,4.43,4.1,3.77,4.39,4.07,4.03,4.32,4.43,4.33,4.78,4.11,4.39,4.39,4.323333333333333,3.9875000000000003,4.192,4.2125,4.4025
doc-02,4.28,4.49,4.18,4.26,4.43,4.03,3.44,4.27,4.19,4.21,4.28,4.2,4.06,4.42,4.05,4.34,4.16,4.25,4.46,4.47,4.21,4.37,4.21,4.316666666666666,3.9825,4.234,4.2,4.3775
doc-03,4.33,4.48,4.3,4.3,4.48,4.04,3.54,3.96,4.5,4.44,4.26,4.04,3.91,4.35,4.32,4.19,4.31,4.37,4.28,4.42,4.23,4.29,4.17,4.37,4.01,4.2,4.2975,4.305
doc-04,4.39,4.34,3.87,4.33,4.5,3.93,3.44,3.83,4.39,4.23,4.11,4.06,3.7,4.5,4.08,4.21,4.19,4.42,4.31,4.45,4.0,4.19,4.24,4.2,3.8975,4.119999999999999,4.225,4.2375
doc-05,4.48,4.41,4.5,4.51,4.15,4.18,3.71,4.17,4.58,4.24,4.21,4.17,3.94,4.26,4.38,4.29,4.03,4.19,4.38,4.6,4.1,4.45,4.03,4.463333333333334,4.16,4.164,4.2225,4.3825
doc-06,4.53,4.16,4.35,4.33,4.5,4.05,3.86,4.1,4.38,3.86,4.67,4.1,4.2,4.48,4.33,4.32,4.29,4.35,4.45,4.6,4.35,4.28,4.16,4.346666666666667,4.0975,4.262,4.3225,4.42
doc-07,4.3,4.0,4.43,4.41,4.09,4.05,3.48,4.62,4.09,4.35,4.0,4.04,3.86,4.5,4.23,4.0,4.09,4.38,4.22,4.67,3.95,4.17,4.24,4.243333333333333,4.06,4.15,4.175,4.2524999999999995
doc-08,4.5,4.33,4.11,4.62,4.65,4.23,3.43,4.28,4.57,4.13,4.23,3.81,4.0,4.33,4.27,4.1,4.03,4.41,4.37,4.69,4.34,4.5,4.4,4.3133333333333335,4.1275,4.1,4.2025,4.475
doc-09,4.39,4.63,4.2,4.21,4.58,4.22,3.42,4.07,4.19,4.19,4.03,4.06,4.25,4.66,4.18,3.97,4.06,4.46,4.42,4.67,4.61,4.07,3.94,4.406666666666666,3.9750000000000005,4.238,4.1674999999999995,4.4425
doc-10,4.7,4.53,4.26,4.62,4.33,3.85,3.67,3.9,4.22,4.24,4.65,4.24,4.26,4.7,4.1,4.2,4.24,4.44,4.32,4.56,3.9,4.37,4.1,4.496666666666667,3.91,4.418,4.245000000000001,4.2875
doc-11,4.17,4.42,4.17,4.42,4.45,3.45,3.5,3.67,4.64,4.0,4.25,4.25,3.67,4.55,3.83,4.25,4.33,4.08,4.25,4.83,3.7,4.33,4.25,4.253333333333333,3.8150000000000004,4.144,4.1225000000000005,4.2775
doc-12,4.63,4.2,4.38,4.3,4.56,4.26,3.48,3.85,4.62,4.15,4.35,4.08,3.92,4.33,4.25,4.44,4.27,4.09,4.33,4.8,4.46,4.36,4.07,4.403333333333333,4.0525,4.1659999999999995,4.2625,4.4875
doc-13,4.71,4.19,4.39,4.47,4.53,3.94,3.5,4.33,4.32,4.38,4.3,3.71,3.78,4.27,4.12,4.18,4.21,4.28,4.28,4.6,4.32,4.4,4.34,4.43,4.0225,4.088,4.197500000000001,4.4
doc-14,4.0,4.25,4.44,4.25,4.0,4.33,3.17,4.25,4.64,4.08,4.33,3.9,4.08,4.58,4.09,4.25,4.0,4.2,4.25,4.67,4.27,4.38,3.64,4.23,4.0975,4.194,4.135,4.3925
doc-15,4.43,4.37,4.32,4.23,4.43,4.07,3.6,4.11,4.23,4.35,4.32,4.23,4.02,4.35,3.79,4.29,4.31,4.1,4.18,4.83,4.16,4.15,4.36,4.373333333333334,4.0025,4.2540000000000004,4.1225,4.33
doc-16,3.81,4.33,4.64,4.31,4.31,4.5,3.75,4.8,4.75,4.2,3.93,4.21,4.25,4.31,4.31,4.12,3.73,4.07,4.36,4.83,4.25,4.44,4.12,4.260000000000001,4.45,4.18,4.0575,4.470000000000001
doc-17,4.33,4.51,4.24,4.46,4.38,3.88,3.48,3.92,4.46,4.29,4.52,3.95,3.97,4.21,4.0,4.45,4.18,4.29,4.17,4.71,4.11,4.19,4.36,4.36,3.9349999999999996,4.188,4.2299999999999995,4.295
doc-18,4.32,4.19,4.31,4.38,4.52,4.11,3.48,4.42,3.88,4.33,4.26,3.41,3.96,4.44,4.08,4.08,4.07,4.76,4.26,4.91,4.48,4.32,4.54,4.273333333333333,3.9725,4.08,4.2475000000000005,4.4925
doc-19,4.48,4.36,4.3,4.29,4.43,4.38,3.41,3.96,4.12,4.17,4.37,4.21,4.3,4.28,3.64,4.33,4.04,4.42,4.5,4.73,4.21,4.1,4.32,4.38,3.9675000000000002,4.266,4.1075,4.385
doc-20,4.64,4.39,4.12,4.22,4.51,4.07,3.63,3.88,4.59,4.16,4.23,3.76,4.0,4.33,4.02,4.37,3.92,4.49,4.12,4.5,4.21,4.21,4.5,4.383333333333333,4.0425,4.095999999999999,4.199999999999999,4.260000000000001
doc-21,4.42,4.35,4.23,4.3,4.31,3.89,3.63,4.28,4.58,3.85,4.56,4.32,3.91,4.37,4.3,3.93,4.46,4.21,4.36,4.64,4.26,4.19,4.33,4.333333333333333,4.095000000000001,4.202,4.2250000000000005,4.3625
doc-22,4.56,4.48,4.44,4.55,4.34,4.24,3.44,4.0,4.4,3.79,4.06,4.15,3.91,4.3,4.21,4.75,3.88,4.24,4.18,4.73,4.09,4.42,4.42,4.493333333333333,4.02,4.042,4.27,4.355
doc-23,4.68,4.55,4.47,4.31,4.6,4.3,3.6,4.6,4.44,4.21,4.32,4.26,3.93,4.6,4.47,4.16,3.85,4.61,4.47,4.8,4.35,4.0,4.26,4.566666666666666,4.235,4.264,4.2725,4.404999999999999
doc-24,4.43,4.25,4.32,4.36,3.83,4.31,3.55,4.26,4.0,3.86,4.21,4.25,4.22,4.18,3.9,4.43,4.0,4.52,4.11,4.57,4.18,4.4,4.14,4.333333333333333,4.029999999999999,4.144,4.2124999999999995,4.3149999999999995
doc-25,4.33,4.27,4.0,4.5,4.29,3.93,3.53,4.21,4.6,4.13,4.27,3.87,4.4,3.79,4.0,4.57,4.13,3.62,4.07,4.5,4.2,4.23,4.33,4.2,4.0675,4.0920000000000005,4.08,4.25
